EEZ,Biogeographic realm,Total coastal  surface area (km2),Total coastal surface area in MRs,Percent coastal surface area in MRs,"Fisheries dependency: economy, Andrello","Fisheries dependency: employment, Andrello","Fisheries dependency: food security, Andrello","Larval density, Andrello","Self-recruitment fraction, Andrello","Local retention fraction, Andrello",Taylor et al 2019 -true Subsitance,Taylor et al 2019 -true Subsitance_CAT
British Indian Ocean Territory,Western Indo-Pacific,"21,191",94.24546086,0.4,NA,NA,NA,4.6,1,1,NA,NA
Comoro Islands,Western Indo-Pacific,"1,730",75.75555227,4.4,27.4,4,NA,0.14,0.95,0.03,0.73,HIGH
Djibouti,Western Indo-Pacific,"2,404",2.244243769,0.1,1.8,0.1,1.8,0.06,1,0.15,NA,NA
Glorioso Islands,Western Indo-Pacific,"1,416",0,0,NA,NA,NA,0.01,0,NA,NA,NA
Ile Europa,Western Indo-Pacific,111,0,0,NA,NA,NA,0,NA,NA,NA,NA
Ile Tromelin,Western Indo-Pacific,33,0,0,NA,NA,NA,0,NA,NA,NA,NA
Juan de Nova Island,Western Indo-Pacific,"1,605",0,0,NA,NA,NA,0.07,0,NA,NA,NA
Kenya,Western Indo-Pacific,"7,945",34.22807999,0.4,0.5,0,0.3,10.3,0.09,0.6,0.58,MEDIUM
Madagascar,Western Indo-Pacific,"124,242",12.02549826,0,20.8,0.3,8.5,0.1,0.85,1,0.8,HIGH
Maldives,Western Indo-Pacific,"32,285",0,0,27.9,5.3,44.4,0,0,NA,,NA
Mauritius,Western Indo-Pacific,"41,980",0,0,0.7,0.4,1.7,0,NA,NA,0.12,LOW
Mayotte,Western Indo-Pacific,"2,129",0,0,5.7,NA,NA,0.02,0,NA,,NA
Mozambique,Western Indo-Pacific,"83,918",1224.81694,1.5,20.3,0.4,13,7.15,0.99,1,0.14,LOW
RŽunion,Western Indo-Pacific,614,0,0,0.1,NA,NA,0,NA,NA,,NA
Seychelles,Western Indo-Pacific,"54,568",170.9065005,0.3,7.7,1,NA,0.04,1,0.19,0.17,LOW
Somalia,Western Indo-Pacific,"49,568",0,0,34.9,0.5,NA,0.4,0,NA,,NA
South Africa,Western Indo-Pacific,683,277.0723698,40.6,0.3,0.1,0.4,6.58,0.71,0.33,0.42,MEDIUM
Tanzania,Western Indo-Pacific,"19,962",0.632482655,0,2.9,0.1,3.8,4.54,0.88,0.54,0.89,HIGH
Zanzibar,Western Indo-Pacific,"19,962",0.632482655,0,2.9,0.1,3.8,4.54,0.88,0.54,0.89,HIGH
